ug7v899j;d1aafb70c066a2068b02786f8929fd9c900897fb;PMC;Clinical features of culture-proven Mycoplasma pneumoniae infections at King Abdulaziz University Hospital, Jeddah, Saudi Arabia;10.1186/1471-2334-1-6;PMC35282;11472636.0;no-cc;OBJECTIVE: This retrospective chart review describes the epidemiology and clinical features of 40 patients with culture-proven Mycoplasma pneumoniae infections at King Abdulaziz University Hospital, Jeddah, Saudi Arabia. METHODS: Patients with positive M. pneumoniae cultures from respiratory specimens from January 1997 through December 1998 were identified through the Microbiology records. Charts of patients were reviewed. RESULTS: 40 patients were identified, 33 (82.5%) of whom required admission. Most infections (92.5%) were community-acquired. The infection affected all age groups but was most common in infants (32.5%) and pre-school children (22.5%). It occurred year-round but was most common in the fall (35%) and spring (30%). More than three-quarters of patients (77.5%) had comorbidities. Twenty-four isolates (60%) were associated with pneumonia, 14 (35%) with upper respiratory tract infections, and 2 (5%) with bronchiolitis. Cough (82.5%), fever (75%), and malaise (58.8%) were the most common symptoms, and crepitations (60%), and wheezes (40%) were the most common signs. Most patients with pneumonia had crepitations (79.2%) but only 25% had bronchial breathing. Immunocompromised patients were more likely than non-immunocompromised patients to present with pneumonia (8/9 versus 16/31, P = 0.05). Of the 24 patients with pneumonia, 14 (58.3%) had uneventful recovery, 4 (16.7%) recovered following some complications, 3 (12.5%) died because of M pneumoniae infection, and 3 (12.5%) died due to underlying comorbidities. The 3 patients who died of M pneumoniae pneumonia had other comorbidities. CONCLUSION: our results were similar to published data except for the finding that infections were more common in infants and preschool children and that the mortality rate of pneumonia in patients with comorbidities was high.;04/07/2001;"Madani, Tariq A; Al-Ghamdi, Aisha A";BMC Infect Dis;;;0.0;document_parses/pdf_json/d1aafb70c066a2068b02786f8929fd9c900897fb.json;document_parses/pmc_json/PMC35282.xml.json;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC35282/;blabla
02tnwd4m;6b0567729c2143a66d737eb0a2f63f2dce2e5a7d;PMC;Nitric oxide: a pro-inflammatory mediator in lung disease?;10.1186/rr14;PMC59543;11667967.0;no-cc;Inflammatory diseases of the respiratory tract are commonly associated with elevated production of nitric oxide (NO•) and increased indices of NO• -dependent oxidative stress. Although NO• is known to have anti-microbial, anti-inflammatory and anti-oxidant properties, various lines of evidence support the contribution of NO• to lung injury in several disease models. On the basis of biochemical evidence, it is often presumed that such NO• -dependent oxidations are due to the formation of the oxidant peroxynitrite, although alternative mechanisms involving the phagocyte-derived heme proteins myeloperoxidase and eosinophil peroxidase might be operative during conditions of inflammation. Because of the overwhelming literature on NO• generation and activities in the respiratory tract, it would be beyond the scope of this commentary to review this area comprehensively. Instead, it focuses on recent evidence and concepts of the presumed contribution of NO• to inflammatory diseases of the lung.;15/08/2000;"Vliet, Albert van der; Eiserich, Jason P; Cross, Carroll E";Respir Res;;;0.0;document_parses/pdf_json/6b0567729c2143a66d737eb0a2f63f2dce2e5a7d.json;document_parses/pmc_json/PMC59543.xml.json;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC59543/
ejv2xln0;06ced00a5fc04215949aa72528f2eeaae1d58927;PMC;Surfactant protein-D and pulmonary host defense;10.1186/rr19;PMC59549;11667972.0;no-cc;Surfactant protein-D (SP-D) participates in the innate response to inhaled microorganisms and organic antigens, and contributes to immune and inflammatory regulation within the lung. SP-D is synthesized and secreted by alveolar and bronchiolar epithelial cells, but is also expressed by epithelial cells lining various exocrine ducts and the mucosa of the gastrointestinal and genitourinary tracts. SP-D, a collagenous calcium-dependent lectin (or collectin), binds to surface glycoconjugates expressed by a wide variety of microorganisms, and to oligosaccharides associated with the surface of various complex organic antigens. SP-D also specifically interacts with glycoconjugates and other molecules expressed on the surface of macrophages, neutrophils, and lymphocytes. In addition, SP-D binds to specific surfactant-associated lipids and can influence the organization of lipid mixtures containing phosphatidylinositol in vitro. Consistent with these diverse in vitro activities is the observation that SP-D-deficient transgenic mice show abnormal accumulations of surfactant lipids, and respond abnormally to challenge with respiratory viruses and bacterial lipopolysaccharides. The phenotype of macrophages isolated from the lungs of SP-D-deficient mice is altered, and there is circumstantial evidence that abnormal oxidant metabolism and/or increased metalloproteinase expression contributes to the development of emphysema. The expression of SP-D is increased in response to many forms of lung injury, and deficient accumulation of appropriately oligomerized SP-D might contribute to the pathogenesis of a variety of human lung diseases.;25/08/2000;Crouch, Erika C;Respir Res;;;0.0;document_parses/pdf_json/06ced00a5fc04215949aa72528f2eeaae1d58927.json;document_parses/pmc_json/PMC59549.xml.json;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC59549/
2b73a28n;348055649b6b8cf2b9a376498df9bf41f7123605;PMC;Role of endothelin-1 in lung disease;10.1186/rr44;PMC59574;11686871.0;no-cc;Endothelin-1 (ET-1) is a 21 amino acid peptide with diverse biological activity that has been implicated in numerous diseases. ET-1 is a potent mitogen regulator of smooth muscle tone, and inflammatory mediator that may play a key role in diseases of the airways, pulmonary circulation, and inflammatory lung diseases, both acute and chronic. This review will focus on the biology of ET-1 and its role in lung disease.;22/02/2001;"Fagan, Karen A; McMurtry, Ivan F; Rodman, David M";Respir Res;;;0.0;document_parses/pdf_json/348055649b6b8cf2b9a376498df9bf41f7123605.json;document_parses/pmc_json/PMC59574.xml.json;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC59574/
9785vg6d;5f48792a5fa08bed9f56016f4981ae2ca6031b32;PMC;Gene expression in epithelial cells in response to pneumovirus infection;10.1186/rr61;PMC59580;11686888.0;no-cc;Respiratory syncytial virus (RSV) and pneumonia virus of mice (PVM) are viruses of the family Paramyxoviridae, subfamily pneumovirus, which cause clinically important respiratory infections in humans and rodents, respectively. The respiratory epithelial target cells respond to viral infection with specific alterations in gene expression, including production of chemoattractant cytokines, adhesion molecules, elements that are related to the apoptosis response, and others that remain incompletely understood. Here we review our current understanding of these mucosal responses and discuss several genomic approaches, including differential display reverse transcription-polymerase chain reaction (PCR) and gene array strategies, that will permit us to unravel the nature of these responses in a more complete and systematic manner.;11/05/2001;"Domachowske, Joseph B; Bonville, Cynthia A; Rosenberg, Helene F";Respir Res;;;0.0;document_parses/pdf_json/5f48792a5fa08bed9f56016f4981ae2ca6031b32.json;document_parses/pmc_json/PMC59580.xml.json;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC59580/
zjufx4fo;b2897e1277f56641193a6db73825f707eed3e4c9;PMC;Sequence requirements for RNA strand transfer during nidovirus discontinuous subgenomic RNA synthesis;10.1093/emboj/20.24.7220;PMC125340;11742998.0;green-oa;Nidovirus subgenomic mRNAs contain a leader sequence derived from the 5′ end of the genome fused to different sequences (‘bodies’) derived from the 3′ end. Their generation involves a unique mechanism of discontinuous subgenomic RNA synthesis that resembles copy-choice RNA recombination. During this process, the nascent RNA strand is transferred from one site in the template to another, during either plus or minus strand synthesis, to yield subgenomic RNA molecules. Central to this process are transcription-regulating sequences (TRSs), which are present at both template sites and ensure the fidelity of strand transfer. Here we present results of a comprehensive co-variation mutagenesis study of equine arteritis virus TRSs, demonstrating that discontinuous RNA synthesis depends not only on base pairing between sense leader TRS and antisense body TRS, but also on the primary sequence of the body TRS. While the leader TRS merely plays a targeting role for strand transfer, the body TRS fulfils multiple functions. The sequences of mRNA leader–body junctions of TRS mutants strongly suggested that the discontinuous step occurs during minus strand synthesis.;17/12/2001;"Pasternak, Alexander O.; van den Born, Erwin; Spaan, Willy J.M.; Snijder, Eric J.";The EMBO Journal;;;0.0;document_parses/pdf_json/b2897e1277f56641193a6db73825f707eed3e4c9.json;document_parses/pmc_json/PMC125340.xml.json;http://europepmc.org/articles/pmc125340?pdf=render
ymceytj3;e3d0d482ebd9a8ba81c254cc433f314142e72174;PMC;Crystal structure of murine sCEACAM1a[1,4]: a coronavirus receptor in the CEA family;10.1093/emboj/21.9.2076;PMC125375;11980704.0;green-oa;CEACAM1 is a member of the carcinoembryonic antigen (CEA) family. Isoforms of murine CEACAM1 serve as receptors for mouse hepatitis virus (MHV), a murine coronavirus. Here we report the crystal structure of soluble murine sCEACAM1a[1,4], which is composed of two Ig-like domains and has MHV neutralizing activity. Its N-terminal domain has a uniquely folded CC′ loop that encompasses key virus-binding residues. This is the first atomic structure of any member of the CEA family, and provides a prototypic architecture for functional exploration of CEA family members. We discuss the structural basis of virus receptor activities of murine CEACAM1 proteins, binding of Neisseria to human CEACAM1, and other homophilic and heterophilic interactions of CEA family members.;01/05/2002;"Tan, Kemin; Zelus, Bruce D.; Meijers, Rob; Liu, Jin-huan; Bergelson, Jeffrey M.; Duke, Norma; Zhang, Rongguang; Joachimiak, Andrzej; Holmes, Kathryn V.; Wang, Jia-huai";The EMBO Journal;;;0.0;document_parses/pdf_json/e3d0d482ebd9a8ba81c254cc433f314142e72174.json;document_parses/pmc_json/PMC125375.xml.json;http://europepmc.org/articles/pmc125375?pdf=render
wzj2glte;00b1d99e70f779eb4ede50059db469c65e8c1469;PMC;Synthesis of a novel hepatitis C virus protein by ribosomal frameshift;10.1093/emboj/20.14.3840;PMC125543;11447125.0;no-cc;Hepatitis C virus (HCV) is an important human pathogen that affects ∼100 million people worldwide. Its RNA genome codes for a polyprotein, which is cleaved by viral and cellular proteases to produce at least 10 mature viral protein products. We report here the discovery of a novel HCV protein synthesized by ribosomal frameshift. This protein, which we named the F protein, is synthesized from the initiation codon of the polyprotein sequence followed by ribosomal frameshift into the −2/+1 reading frame. This ribosomal frameshift requires only codons 8–14 of the core protein‐coding sequence, and the shift junction is located at or near codon 11. An F protein analog synthesized in vitro reacted with the sera of HCV patients but not with the sera of hepatitis B patients, indicating the expression of the F protein during natural HCV infection. This unexpected finding may open new avenues for the development of anti‐HCV drugs.;16/07/2001;"Xu, Zhenming; Choi, Jinah; Yen, T.S.Benedict; Lu, Wen; Strohecker, Anne; Govindarajan, Sugantha; Chien, David; Selby, Mark J.; Ou, Jing‐hsiung";EMBO J;;;0.0;document_parses/pdf_json/00b1d99e70f779eb4ede50059db469c65e8c1469.json;document_parses/pmc_json/PMC125543.xml.json;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC125543/
2sfqsfm1;cf584e00f637cbd8f1bb35f3f09f5ed07b71aeb0;PMC;Structure of coronavirus main proteinase reveals combination of a chymotrypsin fold with an extra α-helical domain;10.1093/emboj/cdf327;PMC126080;12093723.0;green-oa;The key enzyme in coronavirus polyprotein processing is the viral main proteinase, M(pro), a protein with extremely low sequence similarity to other viral and cellular proteinases. Here, the crystal structure of the 33.1 kDa transmissible gastroenteritis (corona)virus M(pro) is reported. The structure was refined to 1.96 Å resolution and revealed three dimers in the asymmetric unit. The mutual arrangement of the protomers in each of the dimers suggests that M(pro) self-processing occurs in trans. The active site, comprised of Cys144 and His41, is part of a chymotrypsin-like fold that is connected by a 16 residue loop to an extra domain featuring a novel α-helical fold. Molecular modelling and mutagenesis data implicate the loop in substrate binding and elucidate S1 and S2 subsites suitable to accommodate the side chains of the P1 glutamine and P2 leucine residues of M(pro) substrates. Interactions involving the N-terminus and the α-helical domain stabilize the loop in the orientation required for trans-cleavage activity. The study illustrates that RNA viruses have evolved unprecedented variations of the classical chymotrypsin fold.;01/07/2002;"Anand, Kanchan; Palm, Gottfried J.; Mesters, Jeroen R.; Siddell, Stuart G.; Ziebuhr, John; Hilgenfeld, Rolf";The EMBO Journal;;;0.0;document_parses/pdf_json/cf584e00f637cbd8f1bb35f3f09f5ed07b71aeb0.json;document_parses/pmc_json/PMC126080.xml.json;http://europepmc.org/articles/pmc126080?pdf=render
i0zym7iq;dde02f11923815e6a16a31dd6298c46b109c5dfa;PMC;Discontinuous and non-discontinuous subgenomic RNA transcription in a nidovirus;10.1093/emboj/cdf635;PMC136939;12456663.0;green-oa;Arteri-, corona-, toro- and roniviruses are evolutionarily related positive-strand RNA viruses, united in the order Nidovirales. The best studied nidoviruses, the corona- and arteriviruses, employ a unique transcription mechanism, which involves discontinuous RNA synthesis, a process resembling similarity-assisted copy-choice RNA recombination. During infection, multiple subgenomic (sg) mRNAs are transcribed from a mirror set of sg negative-strand RNA templates. The sg mRNAs all possess a short 5′ common leader sequence, derived from the 5′ end of the genomic RNA. The joining of the non-contiguous ‘leader’ and ‘body’ sequences presumably occurs during minus-strand synthesis. To study whether toroviruses use a similar transcription mechanism, we characterized the 5′ termini of the genome and the four sg mRNAs of Berne virus (BEV). We show that BEV mRNAs 3–5 lack a leader sequence. Surprisingly, however, RNA 2 does contain a leader, identical to the 5′-terminal 18 residues of the genome. Apparently, BEV combines discontinuous and non-discontinous RNA synthesis to produce its sg mRNAs. Our findings have important implications for the understanding of the mechanism and evolution of nidovirus transcription.;01/12/2002;"van Vliet, A.L.W.; Smits, S.L.; Rottier, P.J.M.; de Groot, R.J.";The EMBO Journal;;;0.0;document_parses/pdf_json/dde02f11923815e6a16a31dd6298c46b109c5dfa.json;document_parses/pmc_json/PMC136939.xml.json;http://europepmc.org/articles/pmc136939?pdf=render
5yhe786e;3bb07ea10432f7738413dff9816809cc90f03f99;PMC;Debate: Transfusing to normal haemoglobin levels will not improve outcome;10.1186/cc987;PMC137267;11299062.0;no-cc;Recent evidence suggests that critically ill patients are able to tolerate lower levels of haemoglobin than was previously believed. It is our goal to show that transfusing to a level of 100 g/l does not improve mortality and other clinically important outcomes in a critical care setting. Although many questions remain, many laboratory and clinical studies, including a recent randomized controlled trial (RCT), have established that transfusing to normal haemoglobin concentrations does not improve organ failure and mortality in the critically ill patient. In addition, a restrictive transfusion strategy will reduce exposure to allogeneic transfusions, result in more efficient use of red blood cells (RBCs), save blood overall, and decrease health care costs.;08/03/2001;"Alvarez, Gonzalo; Hébert, Paul C; Szick, Sharyn";Crit Care;;;0.0;document_parses/pdf_json/3bb07ea10432f7738413dff9816809cc90f03f99.json;document_parses/pmc_json/PMC137267.xml.json;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC137267/
